TERRITORIO#es,TIME_PERIOD#es,FLUJO_ENERGIA#es,FLUJO_ENERGIA_CODE,OBS_VALUE
Agaete,10/09/2020,Total,_T,43.39
Agaete,11/09/2020,Total,_T,41.49
Agaete,12/09/2020,Total,_T,41.29
Agaete,13/09/2020,Total,_T,40.67
Agaete,14/09/2020,Total,_T,41.3
Agaete,15/09/2020,Total,_T,41.73
Agaete,16/09/2020,Total,_T,42.94
Agaete,17/09/2020,Total,_T,42.12
Agaete,18/09/2020,Total,_T,40.86
Agaete,19/09/2020,Total,_T,42.0
Agaete,20/09/2020,Total,_T,40.38
Agaete,21/09/2020,Total,_T,41.67
Agaete,22/09/2020,Total,_T,40.83
Agaete,23/09/2020,Total,_T,40.08
Agaete,24/09/2020,Total,_T,40.18
Agaete,25/09/2020,Total,_T,41.22
Agaete,26/09/2020,Total,_T,42.49
Agaete,27/09/2020,Total,_T,40.15
Agaete,28/09/2020,Total,_T,40.53
Agaete,29/09/2020,Total,_T,39.39
Agaete,30/09/2020,Total,_T,37.61
Agaete,01/10/2020,Total,_T,38.66
Agaete,02/10/2020,Total,_T,38.58
Agaete,03/10/2020,Total,_T,40.08
Agaete,04/10/2020,Total,_T,38.72
Agaete,05/10/2020,Total,_T,39.15
Agaete,06/10/2020,Total,_T,38.37
Agaete,07/10/2020,Total,_T,38.02
Agaete,08/10/2020,Total,_T,38.12
Agaete,09/10/2020,Total,_T,39.74
Agaete,10/10/2020,Total,_T,40.15
Agaete,11/10/2020,Total,_T,38.98
Agaete,12/10/2020,Total,_T,41.15
Agaete,13/10/2020,Total,_T,40.6
Agaete,14/10/2020,Total,_T,39.33
Agaete,15/10/2020,Total,_T,38.39
Agaete,16/10/2020,Total,_T,38.2
Agaete,17/10/2020,Total,_T,39.72
Agaete,18/10/2020,Total,_T,38.39
Agaete,19/10/2020,Total,_T,39.12
Agaete,20/10/2020,Total,_T,39.04
Agaete,21/10/2020,Total,_T,37.55
Agaete,22/10/2020,Total,_T,36.88
Agaete,23/10/2020,Total,_T,37.75
Agaete,24/10/2020,Total,_T,38.85
Agaete,25/10/2020,Total,_T,39.72
Agaete,26/10/2020,Total,_T,38.72
Agaete,27/10/2020,Total,_T,38.3
Agaete,28/10/2020,Total,_T,37.81
Agaete,29/10/2020,Total,_T,38.29
Agaete,30/10/2020,Total,_T,38.17
Agaete,31/10/2020,Total,_T,39.15
Agaete,01/11/2020,Total,_T,38.53
Agaete,02/11/2020,Total,_T,39.95
Agaete,03/11/2020,Total,_T,39.11
Agaete,04/11/2020,Total,_T,38.7
Agaete,05/11/2020,Total,_T,37.74
Agaete,06/11/2020,Total,_T,38.26
Agaete,07/11/2020,Total,_T,39.23
Agaete,08/11/2020,Total,_T,38.61
Agaete,09/11/2020,Total,_T,39.17
Agaete,10/11/2020,Total,_T,38.69
Agaete,11/11/2020,Total,_T,37.03
Agaete,12/11/2020,Total,_T,37.73
Agaete,13/11/2020,Total,_T,38.34
Agaete,14/11/2020,Total,_T,40.56
Agaete,15/11/2020,Total,_T,39.05
Agaete,16/11/2020,Total,_T,40.25
Agaete,17/11/2020,Total,_T,38.69
Agaete,18/11/2020,Total,_T,38.39
Agaete,19/11/2020,Total,_T,37.95
Agaete,20/11/2020,Total,_T,38.2
Agaete,21/11/2020,Total,_T,40.1
Agaete,22/11/2020,Total,_T,38.26
Agaete,03/03/2021,Total,_T,38.16
Agaete,04/03/2021,Total,_T,37.82
Agaete,05/03/2021,Total,_T,38.65
Agaete,06/03/2021,Total,_T,39.97
Agaete,07/03/2021,Total,_T,38.98
Agaete,08/03/2021,Total,_T,37.98
Agaete,09/03/2021,Total,_T,37.71
Agaete,10/03/2021,Total,_T,38.18
Agaete,11/03/2021,Total,_T,40.7
Agaete,12/03/2021,Total,_T,38.29
Agaete,13/03/2021,Total,_T,39.96
Agaete,14/03/2021,Total,_T,38.37
Agaete,15/03/2021,Total,_T,37.74
Agaete,16/03/2021,Total,_T,38.25
Agaete,17/03/2021,Total,_T,37.45
Agaete,18/03/2021,Total,_T,37.25
Agaete,19/03/2021,Total,_T,38.31
Agaete,20/03/2021,Total,_T,39.25
Agaete,21/03/2021,Total,_T,39.21
Agaete,22/03/2021,Total,_T,38.99
